TradeId,TradeDtTime,InID,qty,price,amount,trader
T1,30/11/2017 12:00:00,MKS,100,12,1200,TRADER1
T2,01/12/2017 09:15:30,ADM,200,12,2400,TRADER1
T3,01/12/2017 14:34:51,JMAT,400,10,4000,TRADER1
T4,01/12/2017 16:45:43,UU.,100,12.5,1250,TRADER1
T5,01/12/2017 17:00:00,BT.A,850,10,8500,TRADER1
T6,01/12/2017 17:00:00,MKS,200,11,2200,TRADER1
T7,01/12/2017 19:14:01,BT.A,1150,10,11500,TRADER1
T8,08/12/2017 23:11:52,BT.A,100,10,1000,TRADER1
T9,15/12/2017 09:15:30,ADM,100,10,1000,TRADER1
T10,15/12/2017 12:00:01,OML,5,120,600,TRADER1
T11,16/12/2017 15:53:54,MKS,200,11.5,2300,TRADER1
T12,16/12/2017 17:15:21,NXT,400,12,4800,TRADER1
T13,17/12/2017 13:30:00,BT.A,100,10,1000,TRADER1
T14,18/12/2017 09:15:59,MKS,1000,12,12000,TRADER1
T15,18/12/2017 14:14:14,ADM,100,9,900,TRADER1
T16,18/12/2017 20:07:32,UU.,100,12,1200,TRADER1
T17,31/12/2017 23:59:59,NXT,2100,12,25200,TRADER1
T18,04/01/2018 11:59:30,ADM,100,8.5,850,TRADER1
T19,04/01/2018 16:53:48,NXT,10000,12,120000,TRADER1
T20,04/01/2018 23:11:01,ADM,100,8.75,875,TRADER1
